AwardID,teams,hub,site,node,AwardTitle,Agency,AwardEffectiveDate,AwardExpirationDate,AwardTotalIntnAmount,AwardAmount,AwardInstrument,Organization_Code,Directorate_Abbreviation,Directorate_LongName,Division_Abbreviation,Division_LongName,Year,sbir,sbir_1,sbir_2,sttr,sttr_1,sttr_2
1644708,,,1,,"I-Corps Sites - Type I: Accelerating Innovation and Entrepreneurial Development at University of California, Santa Cruz",NSF,3/1/17,2/29/24,494821,551397,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644666,,,1,,I-Corps Sites - Type I: Brandeis University I-Corps Site Housed at the Hassenfeld Family Innovation Center,NSF,2/15/17,1/31/25,237050,329050,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644688,,,1,,I-Corps Sites - Type I: Cornell I-Corps Site,NSF,2/15/17,7/31/22,500000,500000,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644664,,,1,,I-Corps Sites - Type I: CUNY STEM Tools for Innovation and Entrepreneurial Success (STEM TIES) I-Corps Site,NSF,3/15/17,2/29/24,500000,500000,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644687,,,1,,I-Corps Sites - Type I: George Washington University I-Corps Site for Innovation and Entrepreneurship,NSF,3/15/17,2/28/22,499502,693426,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644750,,,1,,I-Corps Sites - Type I: Harvesting an Innovation Ecosystem at a Diverse Regional Comprehensive University for Business Incubation,NSF,3/1/17,2/28/23,498335,621716,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644700,,,1,,I-Corps Sites - Type I: Johns Hopkins University I-Corps Site for Viable Startup Creation,NSF,1/15/17,5/31/22,500000,500000,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644707,,,1,,I-Corps Sites - Type I: Mass-I-Corps at UMass Lowell,NSF,2/14/17,1/31/25,499849,577325,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644681,,,1,,I-Corps Sites - Type I: NYU I-Corps Sites for Enhancing Diversity in Entrepreneurship,NSF,3/15/17,2/28/22,500000,599999,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644743,,,1,,I-Corps Sites - Type I: Texas A&M University I-Corps Site (TAMU-iSite),NSF,2/1/17,12/31/24,500000,599912,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644705,,,1,,I-Corps Sites - Type I: The I-Corps at UAB Program,NSF,2/15/17,1/31/25,498795,594678,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644753,,,1,,I-Corps Sites - Type I: UC Merced Innovation Corps: Connecting the National Innovation Network to the San Joaquin Valley,NSF,3/1/17,1/31/25,400000,479999,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644483,,,1,,I-Corps Sites - Type I: UCI Applied Innovation I-Corps Site,NSF,3/15/17,1/31/25,499980,499980,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
